title,description,days_until_deadline,assignee_active_tasks,assignee_overdue_rate,assignee_avg_completion_delay,project_type,priority
Payment failure reported by Government Client,Payment failure reported by Government Client. Failure to resolve may result in financial or reputational damage.,12,7,0.51,6.3,E-commerce,HIGH
Enhance UI for Login,Enhance UI for Login. Important for improving overall system quality.,7,5,0.34,3.0,EdTech,MEDIUM
Immediate rollback required for Frontend App,Immediate rollback required for Frontend App. This issue is affecting multiple stakeholders and requires immediate attention.,-1,0,0.7,1.1,AI Platform,HIGH
Update dependency versions,Update dependency versions. Can be addressed during routine maintenance.,63,0,0.11,1.0,Fintech,LOW
Client escalation regarding Search,Client escalation regarding Search. This issue is affecting multiple stakeholders and requires immediate attention.,9,12,0.82,1.8,AI Platform,HIGH
Implement new feature for Login,Implement new feature for Login. Important for improving overall system quality.,-1,3,0.46,3.2,Fintech,MEDIUM
Update dependency versions,Update dependency versions. Can be addressed during routine maintenance.,26,0,0.07,1.6,SaaS,LOW
Minor UI alignment fix,Minor UI alignment fix. No immediate operational risk involved.,32,0,0.18,1.4,Healthcare,LOW
Optimize workflow in Sales,Optimize workflow in Sales. This enhancement supports ongoing optimization efforts.,21,6,0.11,3.8,AI Platform,MEDIUM
Improve analytics reporting for Settings,Improve analytics reporting for Settings. This enhancement supports ongoing optimization efforts.,22,0,0.35,3.8,Fintech,MEDIUM
Organize file structure,Organize file structure. This is a minor improvement with low business impact.,32,0,0.07,1.0,Healthcare,LOW
Improve onboarding process for Employee Onboarding,Improve onboarding process for Employee Onboarding. This enhancement supports ongoing optimization efforts.,-1,9,0.12,1.7,E-commerce,MEDIUM
System crash during Login,System crash during Login. Failure to resolve may result in financial or reputational damage.,-1,13,0.62,7.1,AI Platform,HIGH
Critical issue in Data Pipeline,Critical issue in Data Pipeline. Failure to resolve may result in financial or reputational damage.,6,13,0.33,6.7,Healthcare,HIGH
Optimize workflow in HR,Optimize workflow in HR. Important for improving overall system quality.,33,7,0.1,1.8,EdTech,MEDIUM
Update design theme slightly,Update design theme slightly. No immediate operational risk involved.,38,0,0.19,1.6,SaaS,LOW
Fix minor typo in documentation,Fix minor typo in documentation. Can be addressed during routine maintenance.,32,0,0.04,1.5,Healthcare,LOW
Payment failure reported by Startup Client,Payment failure reported by Startup Client. This issue is affecting multiple stakeholders and requires immediate attention.,-1,12,0.29,8.5,E-commerce,HIGH
Improve formatting in Payment Gateway,Improve formatting in Payment Gateway. Can be addressed during routine maintenance.,20,0,0.05,1.3,EdTech,LOW
Optimize workflow in Marketing,Optimize workflow in Marketing. This task will improve operational efficiency.,-1,7,0.26,3.9,Healthcare,MEDIUM
Improve analytics reporting for Search,Improve analytics reporting for Search. This enhancement supports ongoing optimization efforts.,-1,0,0.13,1.7,Fintech,MEDIUM
Payment failure reported by Government Client,Payment failure reported by Government Client. This issue is affecting multiple stakeholders and requires immediate attention.,-1,8,0.76,2.3,Fintech,HIGH
Implement new feature for Login,Implement new feature for Login. Important for improving overall system quality.,-1,4,0.27,3.7,Healthcare,MEDIUM
Revenue-impacting defect in Checkout,Revenue-impacting defect in Checkout. Failure to resolve may result in financial or reputational damage.,5,0,0.78,2.1,E-commerce,HIGH
Enhance performance of Database,Enhance performance of Database. Important for improving overall system quality.,8,0,0.3,1.8,SaaS,MEDIUM
Security breach detected in Frontend App,Security breach detected in Frontend App. This issue is affecting multiple stakeholders and requires immediate attention.,8,0,0.59,10.0,AI Platform,HIGH
Client escalation regarding Settings,Client escalation regarding Settings. This issue is affecting multiple stakeholders and requires immediate attention.,17,12,0.6,3.5,Fintech,HIGH
Immediate rollback required for Data Pipeline,Immediate rollback required for Data Pipeline. This issue is affecting multiple stakeholders and requires immediate attention.,25,11,0.37,2.5,SaaS,HIGH
Production outage affecting User Service,Production outage affecting User Service. This issue is affecting multiple stakeholders and requires immediate attention.,22,17,0.22,6.0,AI Platform,HIGH
Automate campaign tracking for Referral Program,Automate campaign tracking for Referral Program. This enhancement supports ongoing optimization efforts.,32,0,0.07,1.8,AI Platform,MEDIUM
Implement new feature for Settings,Implement new feature for Settings. Important for improving overall system quality.,25,7,0.06,3.8,EdTech,MEDIUM
Cleanup unused resources,Cleanup unused resources. No immediate operational risk involved.,-1,3,0.16,0.8,Fintech,LOW
Implement new feature for Checkout,Implement new feature for Checkout. This task will improve operational efficiency.,30,0,0.01,0.2,Healthcare,MEDIUM
System crash during Login,System crash during Login. Failure to resolve may result in financial or reputational damage.,9,2,0.37,2.6,AI Platform,HIGH
Minor UI alignment fix,Minor UI alignment fix. No immediate operational risk involved.,33,2,0.05,1.4,AI Platform,LOW
Enhance UI for Settings,Enhance UI for Settings. This task will improve operational efficiency.,17,1,0.3,1.1,AI Platform,MEDIUM
Client escalation regarding Login,Client escalation regarding Login. Failure to resolve may result in financial or reputational damage.,7,0,0.42,6.8,E-commerce,HIGH
System crash during Checkout,System crash during Checkout. Failure to resolve may result in financial or reputational damage.,12,8,0.24,1.5,EdTech,HIGH
Enhance internal documentation,Enhance internal documentation. This is a minor improvement with low business impact.,17,6,0.11,1.4,Fintech,LOW
Critical issue in Backend API,Critical issue in Backend API. This task is blocking critical business operations.,6,13,0.88,9.7,AI Platform,HIGH
Automate campaign tracking for Black Friday Campaign,Automate campaign tracking for Black Friday Campaign. This task will improve operational efficiency.,-1,0,0.27,2.3,AI Platform,MEDIUM
Client escalation regarding Analytics,Client escalation regarding Analytics. This task is blocking critical business operations.,7,13,0.85,8.7,Fintech,HIGH
Compliance violation in Marketing,Compliance violation in Marketing. This issue is affecting multiple stakeholders and requires immediate attention.,6,8,0.51,9.8,SaaS,HIGH
Automate campaign tracking for Referral Program,Automate campaign tracking for Referral Program. This enhancement supports ongoing optimization efforts.,29,8,0.5,1.0,Healthcare,MEDIUM
Revenue-impacting defect in Settings,Revenue-impacting defect in Settings. This issue is affecting multiple stakeholders and requires immediate attention.,13,0,0.63,4.0,AI Platform,HIGH
Client escalation regarding Dashboard,Client escalation regarding Dashboard. Failure to resolve may result in financial or reputational damage.,6,11,0.77,4.5,SaaS,HIGH
Critical issue in Payment Gateway,Critical issue in Payment Gateway. Failure to resolve may result in financial or reputational damage.,3,7,0.55,3.7,Healthcare,HIGH
Payment failure reported by Enterprise Client,Payment failure reported by Enterprise Client. This issue is affecting multiple stakeholders and requires immediate attention.,-1,12,0.67,8.5,E-commerce,HIGH
System crash during Settings,System crash during Settings. This issue is affecting multiple stakeholders and requires immediate attention.,-1,2,0.23,2.8,EdTech,HIGH
Fix minor typo in documentation,Fix minor typo in documentation. This is a minor improvement with low business impact.,-1,1,0.19,0.3,Healthcare,LOW
Implement new feature for Dashboard,Implement new feature for Dashboard. This task will improve operational efficiency.,19,2,0.16,2.3,E-commerce,MEDIUM
Revenue-impacting defect in Settings,Revenue-impacting defect in Settings. This task is blocking critical business operations.,8,2,0.75,3.8,Healthcare,HIGH
Improve analytics reporting for Settings,Improve analytics reporting for Settings. Important for improving overall system quality.,19,0,0.36,2.3,EdTech,MEDIUM
Critical issue in Payment Gateway,Critical issue in Payment Gateway. Failure to resolve may result in financial or reputational damage.,-1,9,0.89,3.3,E-commerce,HIGH
Critical issue in Backend API,Critical issue in Backend API. Failure to resolve may result in financial or reputational damage.,10,0,0.26,9.6,AI Platform,HIGH
Integrate new API into Reporting Service,Integrate new API into Reporting Service. This task will improve operational efficiency.,12,6,0.46,3.2,EdTech,MEDIUM
Minor UI alignment fix,Minor UI alignment fix. Can be addressed during routine maintenance.,41,3,0.1,1.0,Healthcare,LOW
Enhance internal documentation,Enhance internal documentation. Can be addressed during routine maintenance.,-1,4,0.16,0.5,EdTech,LOW
Enhance performance of Data Pipeline,Enhance performance of Data Pipeline. This enhancement supports ongoing optimization efforts.,27,4,0.11,0.2,Healthcare,MEDIUM
Cleanup unused resources,Cleanup unused resources. No immediate operational risk involved.,29,4,0.16,0.2,Fintech,LOW
Update design theme slightly,Update design theme slightly. No immediate operational risk involved.,47,1,0.09,1.3,SaaS,LOW
Client escalation regarding Login,Client escalation regarding Login. Failure to resolve may result in financial or reputational damage.,5,12,0.67,9.6,EdTech,HIGH
Upgrade billing process in Expense Audit,Upgrade billing process in Expense Audit. Important for improving overall system quality.,-1,2,0.01,0.6,EdTech,MEDIUM
Production outage affecting Billing Service,Production outage affecting Billing Service. This task is blocking critical business operations.,15,11,0.86,1.6,AI Platform,HIGH
Critical issue in Backend API,Critical issue in Backend API. This task is blocking critical business operations.,-1,0,0.26,4.8,EdTech,HIGH
Audit failure in Sales,Audit failure in Sales. This task is blocking critical business operations.,-1,0,0.84,9.4,E-commerce,HIGH
Security breach detected in Mobile App,Security breach detected in Mobile App. This issue is affecting multiple stakeholders and requires immediate attention.,10,9,0.38,9.4,Fintech,HIGH
Automate campaign tracking for Email Automation,Automate campaign tracking for Email Automation. This task will improve operational efficiency.,18,0,0.25,0.2,AI Platform,MEDIUM
Upgrade billing process in Expense Audit,Upgrade billing process in Expense Audit. This task will improve operational efficiency.,20,8,0.45,1.0,SaaS,MEDIUM
Integrate new API into Billing Service,Integrate new API into Billing Service. This enhancement supports ongoing optimization efforts.,18,5,0.43,1.9,Healthcare,MEDIUM
Compliance violation in Operations,Compliance violation in Operations. This task is blocking critical business operations.,9,13,0.73,3.2,AI Platform,HIGH
Improve analytics reporting for Profile,Improve analytics reporting for Profile. This enhancement supports ongoing optimization efforts.,12,9,0.19,0.4,SaaS,MEDIUM
Improve comments in codebase,Improve comments in codebase. Can be addressed during routine maintenance.,-1,1,0.06,0.5,Healthcare,LOW
Minor UI alignment fix,Minor UI alignment fix. No immediate operational risk involved.,74,3,0.09,0.6,Fintech,LOW
Improve comments in codebase,Improve comments in codebase. This is a minor improvement with low business impact.,-1,5,0.08,0.2,AI Platform,LOW
Improve formatting in Mobile App,Improve formatting in Mobile App. No immediate operational risk involved.,26,5,0.07,0.1,AI Platform,LOW
